,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,142.7,-0.83,144.9,142.4,55.002,"7.895,59",04/10/2021,16:08:20
1,ACERINOX,10.99,-0.18,11.025,10.69,1.006.701,"10.930,76",04/10/2021,16:07:30
2,ACS,23.34,0.43,23.45,23.19,466.907,"10.879,43",04/10/2021,16:08:27
3,AENA,150.0,0.2,153.25,149.4,68.300,"10.315,00",04/10/2021,16:07:49
4,ALMIRALL,13.55,0.74,13.58,13.37,119.676,"1.614,81",04/10/2021,16:07:23
5,AMADEUS,58.52,0.86,59.48,57.94,353.756,"20.739,62",04/10/2021,16:08:11
6,ARCELORMIT.,25.14,-0.06,25.505,24.835,374.253,"9.406,29",04/10/2021,16:08:31
7,B.SANTANDER,3.162,1.23,3.178,3.093,14.496.273,"45.380,00",04/10/2021,16:08:32
8,BA.SABADELL,0.7174,1.13,0.7218,0.6954,15.118.087,"10.683,63",04/10/2021,16:08:20
9,BANKINTER,5.094,0.83,5.12,5.01,681.283,"3.449,04",04/10/2021,16:07:52
10,BBVA,5.692,1.05,5.71,5.557,134.513.850,"753.457,21",04/10/2021,16:08:23
11,CAIXABANK,2.644,0.34,2.655,2.586,7.302.892,"19.057,60",04/10/2021,16:08:23
12,CELLNEX,53.98,0.6,54.18,53.3,317.383,"17.108,88",04/10/2021,16:08:32
13,CIE AUTOMOT.,21.52,0.75,21.58,21.18,115.111,"2.457,78",04/10/2021,16:06:47
14,ENAGAS,19.425,0.88,19.465,19.185,288.154,"5.561,68",04/10/2021,16:08:23
15,ENDESA,17.71,0.63,17.845,17.655,553.733,"9.820,47",04/10/2021,16:08:10
16,FERROVIAL,25.83,1.57,25.94,25.4,430.573,"11.070,08",04/10/2021,16:08:02
17,FLUIDRA,33.4,-1.33,34.0,32.75,242.254,"8.081,21",04/10/2021,16:06:28
18,GRIFOLS CL.A,21.87,3.21,21.97,21.07,575.687,"12.445,12",04/10/2021,16:07:47
19,IAG,2.221,1.28,2.26,2.179,16.741.424,"37.205,91",04/10/2021,16:08:31
20,IBERDROLA,8.702,-0.3,8.8,8.658,5.318.760,"46.414,49",04/10/2021,16:08:11
21,INDITEX,32.03,0.03,32.25,31.8,544.642,"17.432,00",04/10/2021,16:08:12
22,INDRA A,9.08,-1.14,9.235,9.07,376.208,"3.435,26",04/10/2021,16:07:52
23,INM.COLONIAL,8.435,-0.35,8.55,8.38,393.454,"3.317,25",04/10/2021,16:08:00
24,MAPFRE,1.8725,-0.69,1.89,1.855,1.872.578,"3.499,42",04/10/2021,16:08:32
25,MELIA HOTELS,6.834,0.38,6.89,6.7,785.630,"5.353,88",04/10/2021,16:08:31
26,MERLIN,9.068,-0.44,9.15,8.982,193.169,"1.749,43",04/10/2021,16:08:00
27,NATURGY,21.83,0.14,21.88,21.66,856.969,"18.667,74",04/10/2021,16:08:32
28,PHARMA MAR,71.82,-0.19,73.0,70.6,67.229,"4.821,38",04/10/2021,16:08:22
29,R.E.C.,17.565,1.27,17.635,17.305,343.014,"6.009,49",04/10/2021,16:07:56
30,REPSOL,11.774,4.03,11.78,11.38,7.229.994,"83.309,11",04/10/2021,16:08:32
31,SIEMENS GAME,20.39,-2.95,21.38,19.94,1.015.343,"20.726,65",04/10/2021,16:07:56
32,SOLARIA,14.1,1.44,14.145,13.545,843.220,"11.706,78",04/10/2021,16:08:23
33,TELEFONICA,4.0715,1.85,4.082,3.985,9.365.532,"37.614,54",04/10/2021,16:08:31
34,VISCOFAN,55.95,-0.27,56.15,55.75,17.346,"970,59",04/10/2021,16:03:35
