,country,name,symbol,last,high,low,change,change_percentage,turnover,currency,GP,%
0,spain,ACS,ACS,22.71,22.775,22.29,+0.410,+1.84%,988260,EUR,1.84,%
1,spain,Atresmedia,A3M,3.604,3.65,3.582,-0.026,-0.72%,106520,EUR,-0.72,%
2,spain,Acerinox,ACX,12.135,12.284,12.005,+0.265,+2.23%,1160000,EUR,2.23,%
3,spain,BBVA,BBVA,5.769,5.835,5.675,+0.132,+2.34%,18380000,EUR,2.34,%
4,spain,Bankinter,BKT,5.15,5.166,5.05,+0.134,+2.67%,2600000,EUR,2.67,%
5,spain,Acciona,ANA,150.8,151.9,148.2,+2.900,+1.96%,111690,EUR,1.96,%
6,spain,Caixabank,CABK,2.66,2.68,2.646,+0.033,+1.26%,11010000,EUR,1.26,%
7,spain,Enagas,ENAG,19.6,19.78,19.505,-0.150,-0.76%,609490,EUR,-0.76,%
8,spain,FCC,FCC,11.12,11.28,11.12,-0.060,-0.54%,193740,EUR,-0.54,%
9,spain,Naturgy Energy,NTGY,22.97,23.99,22.745,-0.910,-3.81%,3830000,EUR,-3.81,%
10,spain,Gamesa,SGREN,20.86,20.98,20.5,+0.200,+0.97%,2640000,EUR,0.97,%
11,spain,Grifols,GRLS,20.529,20.809,20.375,-0.051,-0.25%,745290,EUR,-0.25,%
12,spain,Ferrovial,FER,26.61,26.7,26.21,+0.440,+1.68%,893060,EUR,1.68,%
13,spain,Red Electrica,REE,17.688,17.97,17.502,-0.239,-1.33%,1050000,EUR,-1.33,%
14,spain,Inditex,ITX,31.21,31.215,30.41,+0.775,+2.55%,2560000,EUR,2.55,%
15,spain,Repsol,REP,11.588,11.702,11.506,+0.059,+0.51%,5800000,EUR,0.51,%
16,spain,Iberdrola,IBE,9.448,9.654,9.404,-0.144,-1.50%,19590000,EUR,-1.5,%
17,spain,Indra A,IDR,9.47,9.52,9.415,+0.050,+0.53%,397340,EUR,0.53,%
18,spain,Mapfre,MAP,1.794,1.811,1.793,-0.003,-0.14%,2570000,EUR,-0.14,%
19,spain,Telefonica,TEF,3.797,3.9385,3.7685,-0.1445,-3.67%,39090000,EUR,-3.67,%
20,spain,Mediaset,TL5,4.69,4.798,4.69,-0.050,-1.05%,246400,EUR,-1.05,%
21,spain,Sacyr,SCYR,2.376,2.388,2.322,+0.050,+2.15%,4050000,EUR,2.15,%
22,spain,Banco de Sabadell,ACS,0.6728,0.681,0.6704,+0.0020,+0.30%,23250000,EUR,0.3,%
23,spain,Santander,SAN,3.3455,3.385,3.308,+0.0645,+1.97%,46130000,EUR,1.97,%
24,spain,Inmobiliaria Colonial,COL,8.49,8.51,8.37,+0.040,+0.47%,749540,EUR,0.47,%
25,spain,Tecnicas Reunidas,TRE,8.67,8.815,8.58,+0.120,+1.40%,278290,EUR,1.4,%
26,spain,OHL,OHL,0.651,0.658,0.646,+0.005,+0.85%,661230,EUR,0.85,%
27,spain,IAG,ICAG,2.166,2.183,2.097,+0.077,+3.69%,24940000,EUR,3.69,%
28,spain,Ebro Foods,EBRO,16.939,16.97,16.59,+0.309,+1.86%,88630,EUR,1.86,%
29,spain,Endesa,ELE,18.755,18.972,18.622,-0.140,-0.74%,1500000,EUR,-0.74,%
30,spain,Amadeus,AMA,60.559,60.99,59.779,+0.539,+0.90%,907520,EUR,0.9,%
31,spain,DIA,DIDA,0.0163,0.0165,0.0158,+0.0001,+0.62%,33580000,EUR,0.62,%
32,spain,Squirrel Media,ACS,3.8,3.9,3.8,-0.0250,-0.65%,7860,EUR,-0.65,%
33,spain,Laborat.Rovi,ROVI,56.3,57.2,55.8,-0.500,-0.88%,47890,EUR,-0.88,%
34,spain,General Alquiler Maquinaria,GALQ,1.57,1.63,1.57,-0.030,-1.88%,25820,EUR,-1.88,%
