Nombre,Precio último,Máximo,Mínimo,Fecha
IBEX 35®,8906,"8.959,70","8.906,40",22/10/2021
IBEX 35® con Dividendos,27318,"27.482,10","27.318,50",22/10/2021
IBEX MEDIUM CAP®,13741,"13.765,40","13.696,50",22/10/2021
IBEX SMALL CAP®,8195,"8.252,70","8.171,50",22/10/2021
IBEX 35® Bancos,504,"509,90","502,50",22/10/2021
IBEX 35® Energía,1293,"1.301,70","1.287,20",22/10/2021
IBEX 35® Construcción,1557,"1.564,60","1.539,00",22/10/2021
IBEX TOP Dividendo®,2521,"2.533,00","2.505,20",22/10/2021
IBEX 35® con Dividendos Netos,22859,"22.996,00","22.859,10",22/10/2021
IBEX 35® Inverso,2168,"2.168,20","2.155,40",22/10/2021
IBEX 35® Doble Inverso,234,"234,90","232,10",22/10/2021
IBEX 35® Inverso X3,9499,"9.499,20","9.331,40",22/10/2021
IBEX 35® Inverso X5,995,"995,00","966,00",22/10/2021
IBEX 35® Inverso X10,22,"22,50","21,20",22/10/2021
IBEX 35® Doble Apalancado,4176,"4.226,80","4.176,60",22/10/2021
IBEX 35® Doble Apalancado Bruto,19706,"19.944,00","19.706,90",22/10/2021
IBEX 35® Doble Apalancado Neto,16381,"16.578,50","16.381,40",22/10/2021
IBEX 35® Apalancado X3,583,"593,90","583,30",22/10/2021
IBEX 35® Apalancado Neto X3,6931,"7.057,50","6.931,90",22/10/2021
IBEX 35® Apalancado Neto X5,387,"399,50","387,70",22/10/2021
IBEX 35® Apalancado Neto X10,362,"385,30","362,70",22/10/2021
IBEX 35® Capped Net Return,22921,"23.058,90","22.921,60",22/10/2021
IBEX 35® Impacto Div,189,"189,70","189,70",22/10/2021
IBEX 35® Volatilidad Objetivo 10% Estándar,182,"182,80","182,10",22/10/2021
IBEX 35® Volatilidad Objetivo 12% Estándar,188,"189,70","188,90",22/10/2021
IBEX 35® Volatilidad Objetivo 15% Estándar,194,"195,70","194,60",22/10/2021
IBEX 35® Volatilidad Objetivo 18% Estándar,194,"195,60","194,30",22/10/2021
IBEX 35® Volatilidad Objetivo 10% Financiado,132,"132,50","132,00",22/10/2021
IBEX 35® Volatilidad Objetivo 12% Financiado,135,"135,90","135,30",22/10/2021
IBEX 35® Volatilidad Objetivo 15% Financiado,141,"142,40","141,60",22/10/2021
IBEX 35® Volatilidad Objetivo 18% Financiado,136,"137,20","136,20",22/10/2021
VIBEX®,13,"13,75","13,75",22/10/2021
IBEX 35® Skew,7,"7,52","7,52",22/10/2021
IBEX 35® BuyWrite,1447,"1.447,23","1.447,23",22/10/2021
IBEX 35® PutWrite,1386,"1.386,20","1.386,20",22/10/2021
IBEX 35® Protective Put,693,"693,18","693,18",22/10/2021
IBEX 35® Venta de Strangle,1468,"1.468,76","1.468,76",22/10/2021
IBEX TOP Dividendo® Rentabilidad,6926,"6.958,50","6.882,10",22/10/2021
IBEX TOP Dividendo® Rentabilidad Neta,5716,"5.742,60","5.679,60",22/10/2021
IBEX MEDIUM CAP® con Dividendos,15705,"15.733,00","15.654,20",22/10/2021
IBEX MEDIUM CAP® con Dividendos Netos,14565,"14.590,30","14.517,30",22/10/2021
IBEX SMALL CAP® con Dividendos,12214,"12.299,70","12.179,10",22/10/2021
IBEX SMALL CAP® con Dividendos Netos,11747,"11.830,00","11.714,00",22/10/2021
IBEX Growth Market® 15,2450,"2.467,80","2.436,30",22/10/2021
IBEX Growth Market® All Share,1983,"1.991,60","1.975,20",22/10/2021
FTSE4Good IBEX,9405,"9.461,70","9.403,60",22/10/2021
FTSE4Good IBEX Total Return,21201,"21.328,20","21.197,10",22/10/2021
FTSE4Good IBEX Net Return,18730,"18.842,50","18.726,70",22/10/2021
FTSE Latibex All Share,1906,"1.978,50","1.906,40",22/10/2021
FTSE Latibex TOP,4627,"4.836,60","4.627,20",22/10/2021
FTSE Latibex BRASIL,9772,"10.534,10","9.772,00",22/10/2021
I.G.B.M.,878,"884,09","878,85",22/10/2021
I.G.B.M. Total,3841,"3.841,43","3.841,43",22/10/2021
BCN GLOBAL 100 (Base 1986),686,"691,58","686,94",22/10/2021
BCN GLOBAL 100 (Base 1963),1765,"1.777,47","1.765,54",22/10/2021
BCN MID 50,25559,"25.640,83","25.522,91",22/10/2021
BCN PROFIT-30,10476,"10.553,36","10.453,00",22/10/2021
BCN ROE-30,17133,"17.237,36","17.108,07",22/10/2021
BCN PER-30,16791,"16.891,54","16.749,67",22/10/2021
BCN INDEXCAT,22919,"23.024,60","22.874,84",22/10/2021
I.BILBAO 2000,1412,"1.421,55","1.412,63",22/10/2021
I.G.B.V.,1277,"1.285,35","1.277,73",22/10/2021
Índice TEF Apalancado X3,225,"234,40","224,40",22/10/2021
Índice SAN Apalancado X3,427,"450,90","427,10",22/10/2021
Índice BBVA Apalancado X3,649,"663,50","631,20",22/10/2021
Índice ITX Apalancado X3,4219,"4.475,40","4.219,50",22/10/2021
Índice TEF Apalancado X5,215,"229,50","213,30",22/10/2021
Índice SAN Apalancado X5,2163,"2.369,30","2.163,60",22/10/2021
Índice BBVA Apalancado X5,632,"654,80","602,90",22/10/2021
Índice ITX Apalancado X5,272,"301,60","272,90",22/10/2021
Índice TEF Inverso X3,1123,"1.129,10","1.080,50",22/10/2021
Índice SAN Inverso X3,37,"37,60","35,60",22/10/2021
Índice BBVA Inverso X3,32,"33,60","31,90",22/10/2021
Índice ITX Inverso X3,189,"189,90","179,50",22/10/2021
Índice TEF Inverso X5,17,"17,70","16,40",22/10/2021
Índice SAN Inverso X5,3361,"3.361,20","3.070,40",22/10/2021
